spp_abbrev,seqid,length
Ctenta,HG428765.1,756357
Ctenta,HG428766.1,721996
Ctenta,HG428767.1,686033
Ctenta,HG428768.1,672466
Ctenta,HG428769.1,657862
Ctenta,HG428770.1,649598
Ctenta,HG428771.1,598905
Ctenta,HG428772.1,569588
Ctenta,HG428773.1,554249
Ctenta,HG428774.1,552578
Ctenta,HG428775.1,633251
Ctenta,HG428776.1,506911
Ctenta,HG428777.1,504785
Ctenta,HG428778.1,475697
Ctenta,HG428779.1,457808
Ctenta,HG428780.1,452135
Ctenta,HG428781.1,426642
Ctenta,HG428782.1,425566
Ctenta,HG428783.1,422887
Ctenta,HG428784.1,421339
Ctenta,HG428785.1,415231
Ctenta,HG428786.1,414419
Ctenta,HG428787.1,410323
Ctenta,HG428788.1,402718
Ctenta,HG428789.1,458409
Ctenta,HG428790.1,400039
Ctenta,HG428791.1,376395
Ctenta,HG428792.1,373890
Ctenta,HG428793.1,372070
Ctenta,HG428794.1,368987
Ctenta,HG428795.1,368694
Ctenta,HG428796.1,360486
Ctenta,HG428797.1,354568
Ctenta,HG428798.1,350782
Ctenta,HG428799.1,355429
Ctenta,HG428800.1,332694
Ctenta,HG428801.1,331467
Ctenta,HG428802.1,330316
Ctenta,HG428803.1,329771
Ctenta,HG428804.1,319433
Ctenta,HG428805.1,307093
Ctenta,HG428806.1,305816
Ctenta,HG428807.1,327218
Ctenta,HG428808.1,303090
Ctenta,HG428809.1,298476
Ctenta,HG428810.1,297296
Ctenta,HG428811.1,298132
Ctenta,HG428812.1,292378
Ctenta,HG428813.1,289930
Ctenta,HG428814.1,289739
Ctenta,HG428815.1,285671
Ctenta,HG428816.1,283270
Ctenta,HG428817.1,289330
Ctenta,HG428818.1,279722
Ctenta,HG428819.1,276352
Ctenta,HG428820.1,470270
Ctenta,HG428821.1,268943
Ctenta,HG428822.1,271120
Ctenta,HG428823.1,272929
Ctenta,HG428824.1,266560
Ctenta,HG428825.1,259948
Ctenta,HG428826.1,258016
Ctenta,HG428827.1,254270
Ctenta,HG428828.1,252005
Ctenta,HG428829.1,251922
Ctenta,HG428830.1,250802
Ctenta,HG428831.1,248467
Ctenta,HG428832.1,246072
Ctenta,HG428833.1,245646
Ctenta,HG428834.1,244439
Ctenta,HG428835.1,244340
Ctenta,HG428836.1,241769
Ctenta,HG428837.1,238642
Ctenta,HG428838.1,238856
Ctenta,HG428839.1,237033
Ctenta,HG428840.1,232273
Ctenta,HG428841.1,231729
Ctenta,HG428842.1,229419
Ctenta,HG428843.1,229896
Ctenta,HG428844.1,228601
Ctenta,HG428845.1,228328
Ctenta,HG428846.1,226652
Ctenta,HG428847.1,226267
Ctenta,HG428848.1,223923
Ctenta,HG428849.1,223867
Ctenta,HG428850.1,223305
Ctenta,HG428851.1,223183
Ctenta,HG428852.1,251760
Ctenta,HG428853.1,218689
Ctenta,HG428854.1,221486
Ctenta,HG428855.1,218202
Ctenta,HG428856.1,217593
Ctenta,HG428857.1,215206
Ctenta,HG428858.1,214645
Ctenta,HG428859.1,214079
Ctenta,HG428860.1,213677
Ctenta,HG428861.1,317718
Ctenta,HG428862.1,211537
Ctenta,HG428863.1,211227
Ctenta,HG428864.1,211004
Ctenta,HG428865.1,211299
Ctenta,HG428866.1,219230
Ctenta,HG428867.1,208175
Ctenta,HG428868.1,209202
Ctenta,HG428869.1,208187
Ctenta,HG428870.1,206979
Ctenta,HG428871.1,235837
Ctenta,HG428872.1,213944
Ctenta,HG428873.1,204079
Ctenta,HG428874.1,203248
Ctenta,HG428875.1,205968
Ctenta,HG428876.1,202437
Ctenta,HG428877.1,274809
Ctenta,HG428878.1,202029
Ctenta,HG428879.1,200083
Ctenta,HG428880.1,215383
Ctenta,HG428881.1,199309
Ctenta,HG428882.1,198790
Ctenta,HG428883.1,197918
Ctenta,HG428884.1,197236
Ctenta,HG428885.1,195795
Ctenta,HG428886.1,201484
Ctenta,HG428887.1,193288
Ctenta,HG428888.1,276515
Ctenta,HG428889.1,192886
Ctenta,HG428890.1,192581
Ctenta,HG428891.1,191338
Ctenta,HG428892.1,253475
Ctenta,HG428893.1,188065
Ctenta,HG428894.1,193193
Ctenta,HG428895.1,185889
Ctenta,HG428896.1,184151
Ctenta,HG428897.1,182683
Ctenta,HG428898.1,181905
Ctenta,HG428899.1,225683
Ctenta,HG428900.1,181011
Ctenta,HG428901.1,179306
Ctenta,HG428902.1,179199
Ctenta,HG428903.1,178659
Ctenta,HG428904.1,177827
Ctenta,HG428905.1,177153
Ctenta,HG428906.1,177038
Ctenta,HG428907.1,176645
Ctenta,HG428908.1,176328
Ctenta,HG428909.1,175848
Ctenta,HG428910.1,175234
Ctenta,HG428911.1,172140
Ctenta,HG428912.1,172082
Ctenta,HG428913.1,171896
Ctenta,HG428914.1,171326
Ctenta,HG428915.1,172758
Ctenta,HG428916.1,169914
Ctenta,HG428917.1,179718
Ctenta,HG428918.1,168125
Ctenta,HG428919.1,167691
Ctenta,HG428920.1,167126
Ctenta,HG428921.1,166336
Ctenta,HG428922.1,166190
Ctenta,HG428923.1,165886
Ctenta,HG428924.1,163422
Ctenta,HG428925.1,163207
Ctenta,HG428926.1,163133
Ctenta,HG428927.1,164129
Ctenta,HG428928.1,162268
Ctenta,HG428929.1,160911
Ctenta,HG428930.1,160691
Ctenta,HG428931.1,160552
Ctenta,HG428932.1,159344
Ctenta,HG428933.1,158995
Ctenta,HG428934.1,157902
Ctenta,HG428935.1,156664
Ctenta,HG428936.1,156440
Ctenta,HG428937.1,290420
Ctenta,HG428938.1,158170
Ctenta,HG428939.1,155961
