spp_abbrev,class,elements,length
Aaegyp,DNA,1521577,399440962
Aaegyp,LINE,541490,246299754
Aaegyp,LTR,1010800,294026557
Aaegyp,Low_complexity,6827,415277
Aaegyp,RC,63082,29676400
Aaegyp,SINE,58019,9847845
Aaegyp,Satellite,14336,4679645
Aaegyp,Simple_repeat,75471,6884727
Aaegyp,Small_RNA,26747,5953902
Aaegyp,Unclassified,254080,45253577
Asteph,DNA,26581,6011412
Asteph,LINE,51893,16937249
Asteph,LTR,27724,18823832
Asteph,Low_complexity,9039,414820
Asteph,RC,112,8734
Asteph,SINE,5141,517112
Asteph,Satellite,318,104825
Asteph,Simple_repeat,90700,3065781
Asteph,Small_RNA,2106,8703669
Asteph,Unclassified,26828,4296801
Bantar,DNA,7562,1082539
Bantar,LINE,2442,401484
Bantar,LTR,2917,507351
Bantar,Low_complexity,2223,91052
Bantar,RC,24,2105
Bantar,SINE,1066,99875
Bantar,Satellite,3,217
Bantar,Simple_repeat,7179,262042
Bantar,Small_RNA,53,10075
Bantar,Unclassified,2191,310280
Cmarin,DNA,7046,1122869
Cmarin,LINE,1887,358152
Cmarin,LTR,2830,606906
Cmarin,Low_complexity,7893,335194
Cmarin,RC,24,2954
Cmarin,SINE,212,25346
Cmarin,Satellite,349,53868
Cmarin,Simple_repeat,22863,887964
Cmarin,Small_RNA,196,19787
Cmarin,Unclassified,1805,234961
Cquinq,DNA,830715,210112343
Cquinq,LINE,82272,36171314
Cquinq,LTR,152351,43404297
Cquinq,Low_complexity,13744,837020
Cquinq,RC,4991,1363956
Cquinq,SINE,23533,5411772
Cquinq,Satellite,5638,1576087
Cquinq,Simple_repeat,97023,20347070
Cquinq,Small_RNA,28829,5031940
Cquinq,Unclassified,81079,24935271
Cripar,DNA,136325,37257081
Cripar,LINE,17920,5199642
Cripar,LTR,15462,4570109
Cripar,Low_complexity,14176,640242
Cripar,RC,1031,127655
Cripar,SINE,3624,622122
Cripar,Satellite,2044,375953
Cripar,Simple_repeat,47011,1964335
Cripar,Small_RNA,252,150795
Cripar,Unclassified,16085,2788059
Csonor,DNA,76028,14109714
Csonor,LINE,24722,5081607
Csonor,LTR,5925,1404330
Csonor,Low_complexity,31269,1474434
Csonor,RC,3285,540252
Csonor,SINE,2149,320467
Csonor,Satellite,376,70968
Csonor,Simple_repeat,111752,4428404
Csonor,Small_RNA,106,16102
Csonor,Unclassified,13769,1766826
Ctenta,DNA,132460,12195349
Ctenta,LINE,11868,1315150
Ctenta,LTR,14872,1898913
Ctenta,Low_complexity,17599,803054
Ctenta,RC,1468,178124
Ctenta,SINE,4914,558322
Ctenta,Satellite,696,84247
Ctenta,Simple_repeat,56721,2297040
Ctenta,Small_RNA,445,63449
Ctenta,Unclassified,15098,1430715
Mdomes,DNA,1117923,323172537
Mdomes,LINE,117322,24187412
Mdomes,LTR,112426,29877613
Mdomes,Low_complexity,39196,1777433
Mdomes,RC,173022,41014110
Mdomes,SINE,17641,2424688
Mdomes,Satellite,94,23917
Mdomes,Simple_repeat,253207,9249467
Mdomes,Small_RNA,1008,97773
Mdomes,Unclassified,192672,43169520
Pakamu,DNA,3572,1537142
Pakamu,LINE,2588,1035907
Pakamu,LTR,2448,1629918
Pakamu,Low_complexity,6958,284228
Pakamu,RC,89,14141
Pakamu,SINE,74,11032
Pakamu,Satellite,20,2672
Pakamu,Simple_repeat,27137,893087
Pakamu,Small_RNA,316,80573
Pakamu,Unclassified,904,173975
Ppemba,DNA,100409,14936734
Ppemba,LINE,15311,2341047
Ppemba,LTR,12858,1658015
Ppemba,Low_complexity,15410,701335
Ppemba,RC,1252,203281
Ppemba,SINE,2291,281506
Ppemba,Satellite,114,13046
Ppemba,Simple_repeat,40777,1519027
Ppemba,Small_RNA,188,25702
Ppemba,Unclassified,16957,1953544
Pstein,DNA,24504,10551132
Pstein,LINE,4459,1613000
Pstein,LTR,3073,2204591
Pstein,Low_complexity,9135,402353
Pstein,RC,221,52268
Pstein,SINE,414,29709
Pstein,Satellite,15,2595
Pstein,Simple_repeat,27130,1081580
Pstein,Small_RNA,200,259876
Pstein,Unclassified,3951,998842
Pvande,DNA,37123,9419755
Pvande,LINE,4248,1509357
Pvande,LTR,1711,478558
Pvande,Low_complexity,15981,739820
Pvande,RC,766,424210
Pvande,SINE,145,28828
Pvande,Satellite,209,29291
Pvande,Simple_repeat,40842,1592394
Pvande,Small_RNA,157,54997
Pvande,Unclassified,2647,514185
Tgraci,DNA,11960,3350014
Tgraci,LINE,1990,351445
Tgraci,LTR,2906,619762
Tgraci,Low_complexity,9003,449310
Tgraci,RC,193,317553
Tgraci,SINE,260,33392
Tgraci,Satellite,801,397841
Tgraci,Simple_repeat,21107,863196
Tgraci,Small_RNA,58,111576
Tgraci,Unclassified,2829,654231
