species,gene,hog
Aaegyp,AAEL000084,N0.HOG0007093
Aaegyp,AAEL000138,N0.HOG0007431
Aaegyp,AAEL000301,N0.HOG0008082
Aaegyp,AAEL000485,N0.HOG0004760
Aaegyp,AAEL000703,N0.HOG0006244
Aaegyp,AAEL000788,N0.HOG0007692
Aaegyp,AAEL000807,N0.HOG0007568
Aaegyp,AAEL000924,N0.HOG0007090
Aaegyp,AAEL001105,N0.HOG0006093
Aaegyp,AAEL001167,N0.HOG0006029
Aaegyp,AAEL001176,N0.HOG0006230
Aaegyp,AAEL001212,N0.HOG0006358
Aaegyp,AAEL001484,N0.HOG0006267
Aaegyp,AAEL001859,N0.HOG0007695
Aaegyp,AAEL001864,N0.HOG0007385
Aaegyp,AAEL002039,N0.HOG0006546
Aaegyp,AAEL002088,N0.HOG0008954
Aaegyp,AAEL002108,N0.HOG0006641
Aaegyp,AAEL002173,N0.HOG0005091
Aaegyp,AAEL002407,N0.HOG0007340
Aaegyp,AAEL002675,N0.HOG0006195
Aaegyp,AAEL002782,N0.HOG0007034
Aaegyp,AAEL002892,N0.HOG0008783
Aaegyp,AAEL002895,N0.HOG0007001
Aaegyp,AAEL003026,N0.HOG0005364
Aaegyp,AAEL003287,N0.HOG0006387
Aaegyp,AAEL003385,N0.HOG0006561
Aaegyp,AAEL003433,N0.HOG0006885
Aaegyp,AAEL003539,N0.HOG0007639
Aaegyp,AAEL003560,N0.HOG0006038
Aaegyp,AAEL003684,N0.HOG0006291
Aaegyp,AAEL003829,N0.HOG0007472
Aaegyp,AAEL003858,N0.HOG0006283
Aaegyp,AAEL003872,N0.HOG0008236
Aaegyp,AAEL004098,N0.HOG0006452
Aaegyp,AAEL004431,N0.HOG0006692
Aaegyp,AAEL004474,N0.HOG0001074
Aaegyp,AAEL004563,N0.HOG0008635
Aaegyp,AAEL004853,N0.HOG0007953
Aaegyp,AAEL004874,N0.HOG0007654
Aaegyp,AAEL005070,N0.HOG0007336
Aaegyp,AAEL005075,N0.HOG0007535
Aaegyp,AAEL005258,N0.HOG0007393
Aaegyp,AAEL005305,N0.HOG0008400
Aaegyp,AAEL005508,N0.HOG0004013
Aaegyp,AAEL005575,N0.HOG0006531
Aaegyp,AAEL005648,N0.HOG0004497
Aaegyp,AAEL005663,N0.HOG0007138
Aaegyp,AAEL005708,N0.HOG0007433
Aaegyp,AAEL005825,N0.HOG0007368
Aaegyp,AAEL005834,N0.HOG0007808
Aaegyp,AAEL006055,N0.HOG0006080
Aaegyp,AAEL006120,N0.HOG0007764
Aaegyp,AAEL006271,N0.HOG0007751
Aaegyp,AAEL006282,N0.HOG0006191
Aaegyp,AAEL006314,N0.HOG0006401
Aaegyp,AAEL006346,N0.HOG0007557
Aaegyp,AAEL006413,N0.HOG0007847
Aaegyp,AAEL006437,N0.HOG0007075
Aaegyp,AAEL006441,N0.HOG0008646
Aaegyp,AAEL006474,N0.HOG0006647
Aaegyp,AAEL006488,N0.HOG0007100
Aaegyp,AAEL006533,N0.HOG0006910
Aaegyp,AAEL006547,N0.HOG0006498
Aaegyp,AAEL006711,N0.HOG0006492
Aaegyp,AAEL006819,N0.HOG0006651
Aaegyp,AAEL006836,N0.HOG0007551
Aaegyp,AAEL006932,N0.HOG0007880
Aaegyp,AAEL007001,N0.HOG0006537
Aaegyp,AAEL007096,N0.HOG0000837
Aaegyp,AAEL007132,N0.HOG0007118
Aaegyp,AAEL007160,N0.HOG0008920
Aaegyp,AAEL007363,N0.HOG0007113
Aaegyp,AAEL007480,N0.HOG0007869
Aaegyp,AAEL007787,N0.HOG0004090
Aaegyp,AAEL007825,N0.HOG0006976
Aaegyp,AAEL008169,N0.HOG0006120
Aaegyp,AAEL008394,N0.HOG0006613
Aaegyp,AAEL008543,N0.HOG0000253
Aaegyp,AAEL008578,N0.HOG0008913
Aaegyp,AAEL008634,N0.HOG0002076
Aaegyp,AAEL008653,N0.HOG0007357
Aaegyp,AAEL008696,N0.HOG0006959
Aaegyp,AAEL008786,N0.HOG0007826
Aaegyp,AAEL009080,N0.HOG0007443
Aaegyp,AAEL009105,N0.HOG0006250
Aaegyp,AAEL009232,N0.HOG0006553
Aaegyp,AAEL009342,N0.HOG0007689
Aaegyp,AAEL009345,N0.HOG0007256
Aaegyp,AAEL009424,N0.HOG0006917
Aaegyp,AAEL009564,N0.HOG0007232
Aaegyp,AAEL009765,N0.HOG0008005
Aaegyp,AAEL009814,N0.HOG0007950
Aaegyp,AAEL009946,N0.HOG0006869
Aaegyp,AAEL010107,N0.HOG0006833
Aaegyp,AAEL010123,N0.HOG0007927
Aaegyp,AAEL010359,N0.HOG0006391
Aaegyp,AAEL010496,N0.HOG0007223
Aaegyp,AAEL010765,N0.HOG0006823
Aaegyp,AAEL010840,N0.HOG0007258
Aaegyp,AAEL010843,N0.HOG0007042
Aaegyp,AAEL011496,N0.HOG0007672
Aaegyp,AAEL011584,N0.HOG0006841
Aaegyp,AAEL011594,N0.HOG0008386
Aaegyp,AAEL011657,N0.HOG0007214
Aaegyp,AAEL011719,N0.HOG0007353
Aaegyp,AAEL011848,N0.HOG0006649
Aaegyp,AAEL011905,N0.HOG0007584
Aaegyp,AAEL011941,N0.HOG0007737
Aaegyp,AAEL012071,N0.HOG0009004
Aaegyp,AAEL012473,N0.HOG0006858
Aaegyp,AAEL012500,N0.HOG0006603
Aaegyp,AAEL012545,N0.HOG0007402
Aaegyp,AAEL012588,N0.HOG0006530
Aaegyp,AAEL012827,N0.HOG0007233
Aaegyp,AAEL012904,N0.HOG0006344
Aaegyp,AAEL013063,N0.HOG0006028
Aaegyp,AAEL013114,N0.HOG0008741
Aaegyp,AAEL013253,N0.HOG0006990
Aaegyp,AAEL013256,N0.HOG0006700
Aaegyp,AAEL013528,N0.HOG0001009
Aaegyp,AAEL013530,N0.HOG0007349
Aaegyp,AAEL013643,N0.HOG0006968
Aaegyp,AAEL013846,N0.HOG0006263
Aaegyp,AAEL013896,N0.HOG0005964
Aaegyp,AAEL013952,N0.HOG0007838
Aaegyp,AAEL014250,N0.HOG0007085
Aaegyp,AAEL014642,N0.HOG0005030
Aaegyp,AAEL014645,N0.HOG0007183
Aaegyp,AAEL014702,N0.HOG0005128
Aaegyp,AAEL014749,N0.HOG0007916
Aaegyp,AAEL014760,N0.HOG0008307
Aaegyp,AAEL014868,N0.HOG0006212
Aaegyp,AAEL014886,N0.HOG0004934
Aaegyp,AAEL014900,N0.HOG0005474
Aaegyp,AAEL014957,N0.HOG0007749
Aaegyp,AAEL015014,N0.HOG0007070
Aaegyp,AAEL017263,N0.HOG0007405
Aaegyp,AAEL017391,N0.HOG0008024
Aaegyp,AAEL018059,N0.HOG0006930
Aaegyp,AAEL018131,N0.HOG0006194
Aaegyp,AAEL018139,N0.HOG0001348
Aaegyp,AAEL018186,N0.HOG0007563
Aaegyp,AAEL018221,N0.HOG0007866
Aaegyp,AAEL019408,N0.HOG0001010
Aaegyp,AAEL019508,N0.HOG0007347
Aaegyp,AAEL019617,N0.HOG0006998
Aaegyp,AAEL019744,N0.HOG0006470
Aaegyp,AAEL019783,N0.HOG0007659
Aaegyp,AAEL020071,N0.HOG0006423
Aaegyp,AAEL020486,N0.HOG0007339
Aaegyp,AAEL020848,N0.HOG0006233
Aaegyp,AAEL021323,N0.HOG0006957
Aaegyp,AAEL021353,N0.HOG0006675
Aaegyp,AAEL021473,N0.HOG0008754
Aaegyp,AAEL021733,N0.HOG0006931
Aaegyp,AAEL021877,N0.HOG0004617
Aaegyp,AAEL022729,N0.HOG0007772
Aaegyp,AAEL023523,N0.HOG0003587
Aaegyp,AAEL023524,N0.HOG0005696
Aaegyp,AAEL023745,N0.HOG0007399
Aaegyp,AAEL024653,N0.HOG0007627
Aaegyp,AAEL024908,N0.HOG0007239
Aaegyp,AAEL025078,N0.HOG0007889
Aaegyp,AAEL025223,N0.HOG0005567
Aaegyp,AAEL025533,N0.HOG0006226
Aaegyp,AAEL025567,N0.HOG0006989
Aaegyp,AAEL025882,N0.HOG0007805
Aaegyp,AAEL025908,N0.HOG0006962
Aaegyp,AAEL026220,N0.HOG0007992
Aaegyp,AAEL026274,N0.HOG0006152
Aaegyp,AAEL026276,N0.HOG0007763
Aaegyp,AAEL026415,N0.HOG0007800
Aaegyp,AAEL027674,N0.HOG0007246
Asteph,ASTEI20_030928,N0.HOG0006675
Asteph,ASTEI20_030947,N0.HOG0007085
Asteph,ASTEI20_031071,N0.HOG0007093
Asteph,ASTEI20_031075,N0.HOG0004013
Asteph,ASTEI20_031125,N0.HOG0006492
Asteph,ASTEI20_031176,N0.HOG0006841
Asteph,ASTEI20_031208,N0.HOG0006267
Asteph,ASTEI20_031212,N0.HOG0006700
Asteph,ASTEI20_031254,N0.HOG0007557
Asteph,ASTEI20_031283,N0.HOG0007353
Asteph,ASTEI20_031331,N0.HOG0006291
Asteph,ASTEI20_031335,N0.HOG0007431
Asteph,ASTEI20_031351,N0.HOG0001010
Asteph,ASTEI20_031546,N0.HOG0007385
Asteph,ASTEI20_031712,N0.HOG0007472
