family,species,spp_abbrev,annot_source,gsize,n_genes,sum_interg_len,mean_intron_len,sum_intron_len,mean_log_intron_len,mean_n_introns,mean_log_n_introns,DNA,LINE,LTR,Low_complexity,RC,SINE,Satellite,Simple_repeat,Small_RNA,Unclassified
Chironomidae,Polypedilum pembai,Ppemba,InsectBase,122915671,17339,66502742,393.0375395333914,8574900,2.117845340938781,4.169119052168928,0.5005841732479063,14936734,2341047,1658015,701335,203281,281506,13046,1519027,25702,1953544
Chironomidae,Polypedilum vanderplanki,Pvande,InsectBase,118968711,17631,57190303,671.1351894494453,16030064,2.1669329116814167,4.618136117556071,0.5437970048379186,9419755,1509357,478558,739820,424210,28828,29291,1592394,54997,514185
Chironomidae,Chironomus tentans,Ctenta,InsectBase,213462749,20615,105318590,574.9129435558007,12507806,2.246015276995235,3.9904622157006604,0.4783688144383067,12195349,1315150,1898913,803054,178124,558322,84247,2297040,63449,1430715
Chironomidae,Chironomus riparius,Cripar,GenBank,191837449,16522,109937355,1198.2332556533747,27765461,2.304784292201374,4.63625450180072,0.5432926382571208,37257081,5199642,4570109,640242,127655,622122,375953,1964335,150795,2788059
Chironomidae,Tanytarsus gracilentus,Tgraci,here,91827299,15499,45220730,474.26605323434165,12009365,2.104722807767681,4.846315789473684,0.55110444743532,3350014,351445,619762,449310,317553,33392,397841,863196,111576,654231
Chironomidae,Belgica antarctica,Bantar,InsectBase,89583723,10853,34086211,475.4779418112752,11014922,2.1175750644236393,4.580071174377224,0.5410690104754367,1082539,401484,507351,91052,2105,99875,217,262042,10075,310280
Chironomidae,Clunio marinus,Cmarin,InsectBase,85491412,21259,33080075,NA,NA,NA,NA,NA,1122869,358152,606906,335194,2954,25346,53868,887964,19787,234961
Chironomidae,Propsilocerus akamusi,Pakamu,InsectBase,85836937,14557,48422788,347.46724803287725,6933014,2.08794167070219,3.9471810089020773,0.4723151989862875,1537142,1035907,1629918,284228,14141,11032,2672,893087,80573,173975
Chironomidae,Parochlus steinenii,Pstein,here,143569098,16105,84447106,610.2723413691514,19264467,2.1174377032053493,5.9114232209737825,0.6632034071346322,10551132,1613000,2204591,402353,52268,29709,2595,1081580,259876,998842
Ceratopogonidae,Culicoides sonorensis,Csonor,here,155941109,18080,93620169,619.9931316976292,14984614,2.1362095887632844,4.274672798019101,0.5029073237111479,14109714,5081607,1404330,1474434,540252,320467,70968,4428404,16102,1766826
Culicidae,Culex quinquefasciatus,Cquinq,VectorBase,573230032,15094,304048720,6788.314981562473,158317082,2.653920183806007,4.734470158343483,0.5436674515059388,210112343,36171314,43404297,837020,1363956,5411772,1576087,20347070,5031940,24935271
Culicidae,Aedes aegypti,Aaegyp,VectorBase,1278732104,14718,653320460,13399.67806028624,335179547,2.9859271124624334,4.824300867888139,0.5584448918302178,399440962,246299754,294026557,415277,29676400,9847845,4679645,6884727,5953902,45253577
Culicidae,Anopheles stephensi,Asteph,VectorBase,243475713,12705,96724862,2457.6528783755493,58701039,2.428143514034068,4.789452576699419,0.5515540402252407,6011412,16937249,18823832,414820,8734,517112,104825,3065781,8703669,4296801
Muscidae,Musca domestica,Mdomes,InsectBase,750403944,14215,312815995,3860.86946928805,97992728,2.5557092322397335,5.087392262978553,0.5852352180249879,323172537,24187412,29877613,1777433,41014110,2424688,23917,9249467,97773,43169520
